CompanyId,CompanyName,TickerSymbol,FinancesCurrency,Updated MarketCapitalizationInUsd,MarketCapitalization in Native Currency,Updated AnnualRevenueInUsd,Upaded FinancesCurrentAsOf,Peers,Original MarketCapitalizationInUsd,Original AnnualRevenueInUsd
671,Bureau Veritas Certification,BVI-FR,EUR,9581.3995011,8555.584874982957,16.965,2019-04-25T00:00:00.000Z,"['ALTRA-FR', 'INSE-GB', 'SEMC-SE', 'POY1V-FI']",8796041100,5027860530
705,Campbell's,CPB-US,USD,11496.68531636,11496.68531636,32.035,2019-04-25T00:00:00.000Z,"['THS-US', 'HAIN-US', 'MDLZ-US', 'CAG-US', 'TSN-US', 'FLO-US', 'UL-US', 'MKC-US']",13100000000,7890000000
715,CAPGEMINI,CAP-FR,USD,17049.960215208,17049.960215208,71.556671449067,2019-04-25T00:00:00.000Z,"['ATO-FR', 'PTY-GB', 'CAS-FR', 'DVT-FR']",14801239530,12944297520
840,CHS (CHSCP),CHS-US,USD,435.69940458,435.69940458,3.425,2019-04-25T00:00:00.000Z,"['LB-US', 'ASNA-US', 'CATO-US', 'FRAN-US', 'CACH-US']",226610510,34600000000
858,Clariant,CLN-CH,USD,7086.219320347,7086.219320347,17.142017053808,2019-04-25T00:00:00.000Z,"['AKZA-NL', 'EMSN-CH', 'VLS-GB', 'BRG-NO']",5308992250,5765466350
888,Colruyt Group,COLR-BE,USD,7542.5496058106,7542.5496058106,39.436872309899,2019-04-25T00:00:00.000Z,"['FNTS-FR', 'MSH-DE', 'CO-FR', 'HAGA-IS']",7319174940,5060438460
1322,Etablissements Fr. Colruyt,COLR-BE,USD,7542.5496058106,7542.5496058106,39.436872309899,2019-04-25T00:00:00.000Z,"['FNTS-FR', 'MSH-DE', 'CO-FR', 'HAGA-IS']",8329090770,9686504520
897,Companhia Brasileira de Distribuicao GPA,PCAR3-BR,BRL,9320.0660685,37007.295109888015,81.42420672,2019-04-25T00:00:00.000Z,"['KR-US', 'WMK-US', 'IMKTA-US', 'SUPERC1-PE']",4798900400,10253320700
902,Compass Group,CPG-GB,GBP,27862.14509103,21264.198060455492,14.675,2019-04-25T00:00:00.000Z,"['DOC-AT', 'RTN-GB', 'MAB-GB', 'SW-FR']",35415919630,32506600490
906,ConAgra Foods Conagra Brands Inc,CAG-US,USD,15039.0592222,15039.0592222,20.22,2019-04-25T00:00:00.000Z,"['GIS-US', 'THS-US', 'SJM-US', 'MDLZ-US', 'LANC-US', 'HAIN-US', 'PEP-US', 'DF-US']",13520000000,7830000000
967,CostCo,COST-US,USD,108034.5911192,108034.5911192,189.51,2019-04-25T00:00:00.000Z,"['PSMT-US', 'WMT-US', 'DLTR-US', 'TGT-US', 'DG-US', 'BIG-US', 'JSAIY-US', 'FIVE-US']",69550000000,118720000000
973,Coway Co Ltd\A0,021240-KR,USD,6279720.465,6279720.465,60100.0,2019-04-25T00:00:00.000Z,"['600690-CN', '5947-JP', '002700-KR', '066570-KR']",6705920000,1930240000
979,Cranswick,CWK-GB,GBP,1486.64607714,1134.5980909517803,23.4,2019-04-25T00:00:00.000Z,"['PFD-GB', 'ABF-GB', 'HFG-GB']",1598685270,1541074990
991,Croda International,CRDA-GB,USD,5194.150732217,5194.150732217,33.798449612403,2019-04-25T00:00:00.000Z,"['ELM-GB', 'IMCD-NL', 'EMSN-CH', 'BRG-NO']",5573794590,1512269850
1040,Daewoo International Corporation,047050-KR,USD,2233085.5271,2233085.5271,16900.0,2019-04-25T00:00:00.000Z,"['005490-KR', '078930-KR', '001250-KR', '012030-KR']",2471040000,13719680000
1044,Dai Nippon Printing Co.,7912-JP,JPY,785036.132289,87013603.9834442,2174.0,2019-04-25T00:00:00.000Z,"['7914-JP', '7946-JP', '7911-JP', '7831-JP']",6882820230,11896170000
1047,Dairy Farm International,D01-SG,USD,10618.7171998,10618.7171998,7.02,2019-04-25T00:00:00.000Z,"['HERO-ID', '2912-TW', 'RANC-ID', '601933-CN']",11620000000,11200000000
1051,Daito Trust Construction Co.,1878-JP,JPY,1134534.99519,125752146.57824062,13655.0,2019-04-25T00:00:00.000Z,"['1925-JP', '3231-JP', '1764-JP', '6059-JP']",11474320000,11896170000
1052,Daiwa House Industry Co.,1925-JP,USD,18590.64243443,18590.64243443,25.323170188107,2019-04-25T00:00:00.000Z,"['1928-JP', '9303-JP', '9635-JP', '3521-JP']",18223920000,26914030000
1068,Danone,BN-FR,USD,41476.09719028,41476.09719028,53.550932568149,2019-04-25T00:00:00.000Z,"['FBEL-FR', 'UNA-NL', 'NESN-CH']",42774822090,24335713710
1074,"Darden Restaurants, Inc.",DRI-US,USD,14652.5668083,14652.5668083,84.37,2019-04-25T00:00:00.000Z,"['BJRI-US', 'CBRL-US', 'BLMN-US', 'DIN-US', 'DFRG-US', 'RUTH-US']",8920000000,6930000000
1124,Deutsche Post DHL Group,DPW-DE,USD,34298.819315549,34298.819315549,20.946915351506,2019-04-25T00:00:00.000Z,"['POST-AT', 'PNL-NL', 'ARMX-AE', 'LHA-DE']",42829118640,62256424230
1130,Dharma Satya Nusantara,DSNG-ID,USD,288353.53864286,288353.53864286,22.857142857143,2019-04-25T00:00:00.000Z,"['SULI-ID', '723-HK', '8163-HK', 'BRPT-ID']",0,223200000
1132,Diageo,DGE-GB,USD,58749.618280709,58749.618280709,18.976744186046,2019-04-25T00:00:00.000Z,"['CPR-IT', 'DIS-GB', 'STCK-GB', 'FSTA-GB', 'RI-FR', 'DGE-GB', 'HEIA-NL']",87826871860,17355096850
1159,Domino's,DPZ-US,USD,11363.17564305,11363.17564305,230.69,2019-04-25T00:00:00.000Z,"['YUM-US', 'PZZA-US', 'WEN-US', 'JACK-US', 'MCD-US', 'DENN-US', 'CMG-US', 'FRSH-US']",9970000000,2470000000
1161,Domtar Corporation,UFS-CA,USD,4120.4118466,4120.4118466,46.14,2019-04-25T00:00:00.000Z,"['CFX-CA', 'CFP-CA', 'CAS-CA', 'KPT-CA']",3200000000,5100000000
1162,Orsted,ORSTED-DK,DKK,210022.588,1400188.0940405973,359.1,2019-04-25T00:00:00.000Z,"['00000747-LU', 'ODEN-UA', 'NVNG-RU', 'NG.-GB']",16015821140,8351335410
1178,Drax Group,DRX-GB,GBP,1366.713306732,1043.0662230513476,2.926,2019-04-25T00:00:00.000Z,"['SSE-GB', 'RUR-GB', 'OPG-GB', 'GOOD-GB']",1814723820,4421588990
1182,DS Smith,SMDS-GB,GBP,5008.514893074,3822.464219000643,2.858346,2019-04-25T00:00:00.000Z,"['CRU-GB', 'MNDI-GB', 'RPC-GB']",5919456270,5861845990
1190,Dunkin' Brands,DNKN-US,USD,6168.69301432,6168.69301432,60.34,2019-04-25T00:00:00.000Z,"['WEN-US', 'SBUX-US', 'MCD-US', 'SJM-US', 'DF-US']",4750000000,810930000
1191,Dupont,DWDP-US,USD,84445.6803128,84445.6803128,32.87045815,2019-04-25T00:00:00.000Z,"['INAG3-AR', 'IGNE-US', 'MBII-US', 'SNES-US']",55190000000,25120000000
1211,Eagle High Plantations,BWPT-ID,IDR,5044046.56,72092032080.78839,152.0,2019-04-25T00:00:00.000Z,"['SIMP-ID', 'P8Z-SG', 'BTEK-ID', 'UNSP-ID']",554184000,182880000
1222,EBARA FOODS,2819-JP,USD,203.30781144691,203.30781144691,16.93857537666,2019-04-25T00:00:00.000Z,"['2804-JP', '2915-JP', '2875-JP', '2809-JP']",181311130,427840270
1272,Elior,ELIOR-FR,EUR,2183.52828136,1949.752907803961,11.26,2019-04-25T00:00:00.000Z,"['SW-FR', 'CTRG-FR', 'ISS-DK', 'ALBDM-FR']",3876773670,6406992900
