,CompanyId,CompanySiteID,CompanyName,PostToWebsite,Visible,Researcher,Cohort,DateLastUpdated,RefreshSchedule,NextRefresh,RelevantParentCompany,RelevantSubsidiaryCompanies,AllAliases,FirstEightAliases,AllOtherAliases,CompanyWebsite,Majorcompanybrands,HeadquarterCountry,PublicOrPrivate,TickerSymbol,Sector,Industry,MarketCapitalizationDisclosed,MarketCapitalization,AnnualRevenueDisclosed,AnnualRevenue,FinancesCurrency,MarketCapitalizationInUsd,AnnualRevenueInUsd,FinancesCurrentAsOf,TwitterHandle,SustainabilityReporting,SustainabilityCommodityReporting,CommodityReportedon,SustainabilityReportingYear,AcknowledgeDeforestationIssue,AcknowlDeforestationwithCommod,CDP2015_voluntaryoffsetbuyer,PromiseFuturDeforestationCommit,CommodityTypeofFutureCommit,GeneralCommitment,SoyCommitment,PalmCommitment,TimberPulpCommitment,CattleCommitment,TotalCommitments,DormantCommPresent,NumberOfAssessments,NumberOfRelatedActivities,CreatedAt,ModifiedAt,VoluntaryOffsets,Researcher_Other,UpdatedNotes
3351,4314,238.0,Wilmar International,Yes,yes,Laura,2016.0,11/5/2018,6 Month,9/7/2017,,"Goodman Fielder, Pyramid Lanka Pvt Ltd, Natural Oleochemicals Sdn. Bhd, PGEO Marketing Sdn Bhd, Yihai Guangzhou Oils & Grains Industries Co Ltd","Wilmar, Wilmar Europe Holdings B V","Wilmar,  Wilmar Europe Holdings B V",,www.wilmar-international.com,,Singapore,Publicly traded,SGX: F34,Food Products,Consumer Goods,,20430000000.0,,60530000000.0,SGD,16287069960.0,39938606560.0,11/05/2018,,,,,,,,,,,,No,Yes,No,No,1.0,,14.0,9.0,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year"
3360,2848,2578.0,Noble Group,Yes,Yes,Laura,2018.0,12/21/2018,6 Month,1/17/2018,,"Noble Plantations, Henrison Inti Persada, Pusaka Agro Lestari",,,,www.thisisnoble.com,,Hong Kong,Publicly traded,SGX: CGP,Diversified Holding Companies,Business/Consumer Services,,107526000.0,,1654900000.0,SGD,628432157.56,44885515840.0,12/21/2018,,,,,,,,,,,,No,Yes,No,,1.0,,2.0,1.0,,1/26/2019 2:14:52 AM,,,"market capitalization, annual revenue, finance year"
3363,3045,174.0,PepsiCo,Yes,yes,Laura,2016.0,9/12/2018,6 Month,7/26/2018,,"Frito-Lay, Quaker Foods, North American Beverages","7 Up, Alvalle, Aquafina, Brisk, Cheetos, Doritos, Duyvis, Fritos, Gatorade, Grain Waves, H2OH, Kukure, Lay's, Mirinda, Mountain Dew, Muller, Naked Juice, Propel, Quaker, Red Rock Deli, Ruffles, Sabra, Sabritas, Sierra Mist, So Be Lifewater, Stacy's, Sun Bites, Tostitos, Tropicana, Walkers, Yedigun","7 Up,  Alvalle,  Aquafina,  Brisk,  Cheetos,  Doritos,  Duyvis,  Fritos"," Gatorade,  Grain Waves,  H2OH,  Kukure,  Lay's,  Mirinda,  Mountain Dew,  Muller,  Naked Juice,  Propel,  Quaker,  Red Rock Deli,  Ruffles,  Sabra,  Sabritas,  Sierra Mist,  So Be Lifewater,  Stacy's,  Sun Bites,  Tostitos,  Tropicana,  Walkers,  Yedigun",www.pepsico.com,,United States,Publicly traded,NYSE: PEP,Non-Alcoholic Beverages/Drinks,Consumer Goods,,161200000000.0,,63530000000.0,USD,172280000000.0,62800000000.0,2017,PepsiCo,,,,,,,,,,,Former,Yes,Yes,No,4.0,,19.0,9.0,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year"
3366,3048,,Performance Food Group,"No commitment, has exposure",,Philip,,11/29/2016,12 Month,11/29/2017,,,,,,www.pfgc.com,,United States,Publicly traded,NYSE: PFGC,Food Retailers & Wholesalers,Retail/Wholesale,,2290000000.0,,16100000000.0,USD,2290000000.0,16100000000.0,11/29/2016,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1/26/2019 2:14:40 AM,,,
3372,3310,,Quanta Computer,No exposure,,Philip,,2/18/2016,-,,,,,,,www.quantatw.com,,Taiwan,Publicly traded,TW: 2382,Information Technology,Computers & Peripherals,,210510000000.0,,926320000000.0,TWD,6298038180.0,27713641760.0,2/18/2016,,,,,,,,,,,,No,No,No,No,0.0,,1.0,0.0,,1/26/2019 2:14:58 AM,,,
3410,3787,,Stanley Black & Decker,"Profile removed, has exposure",no,Jonathan,2016.0,2/14/2018,12 Month,2/14/2019,,"Stanley, Black & Decker, Porter-Cable, AeroScout, Asia Fastening, BD Abrasive, CRC-Evans, Emglo, Emhart, Zag USA","Dewalt, Mac","Dewalt,  Mac",,www.stanleyblackanddecker.com,,United States,Publicly traded,NYSE: SWK,Housewares,Consumer Goods,,24090000000.0,,12750000000.0,USD,24090000000.0,12750000000.0,2/14/2018,StanleyBlkDeckr,,,,,,,,,,,No,No,Yes,No,1.0,,1.0,0.0,,2/13/2019 5:22:08 PM,,,
3414,3967,221.0,Tesco,Yes,yes,Luke,2016.0,9/11/2018,6 Month,10/24/2018,Tesco Holdings,,Tesco Stores,Tesco Stores,,www.tesco.com,,United Kingdom,Publicly traded,UK: TSCO,Food Retailers & Wholesalers,Retail/Wholesale,,23020000000.0,,57490000000.0,GBP,33799951276.0,80539171440.0,9/18/2018,Tesco,,,,,,,,,,,Yes,Yes,Yes,Yes,5.0,,18.0,11.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual revenue, finance year"
3442,4407,,Zoetis,"No commitment, has exposure",,Philip,,11/22/2016,12 Month,11/22/2017,,,,,,www.zoetis.com,,United States,Publicly traded,NYSE: ZTS,Pharmaceuticals,Health Care/Life Sciences,,24690000000.0,,4760000000.0,USD,24690000000.0,4760000000.0,11/22/2016,Zoetis,,,,,,,,,,,,,,,0.0,,0.0,1.0,,1/26/2019 2:15:04 AM,,,
3455,3138,176.0,Premier Foods,Yes,yes,Jonathan,2016.0,11/3/2016,12 Month,11/3/2017,,,"Ambrosia, Batchelors, Bisto, Cadburycakes, Homepride, Loyd Grossman, Mr. Kipling, OXO, Paul Hollywood, Sharwood's","Ambrosia,  Batchelors,  Bisto,  Cadburycakes,  Homepride,  Loyd Grossman,  Mr. Kipling,  OXO"," Paul Hollywood,  Sharwood's",www.premierfoods.co.uk,,United Kingdom,Publicly traded,UK: PFD,Food Products,Consumer Goods,,387060000.0,,771700000.0,GBP,557465874.42,1111446326.9,11/3/2016,PremierFoods_FS,,,,,,,,,,,No,Yes,Yes,No,2.0,,4.0,1.0,,2/13/2019 5:22:08 PM,,,
3463,3372,187.0,Resolute Forest Products,Yes,yes,Jonathan,2016.0,10/17/2018,6 Month,1/14/2018,,,Abitibi Bowater,Abitibi Bowater,,www.resolutefp.com,,Canada,Publicly traded,NYSE: RFP,Paper/Pulp,Basic Materials/Resources,,394900000.0,,3550000000.0,USD,394900000.0,3550000000.0,7/14/2017,resolutefp,,,,,,,,,,,No,No,Yes,No,2.0,,2.0,3.0,,2/13/2019 5:22:08 PM,,,
3464,3373,2257.0,Restaurant Brands International,Yes,yes,An,2017.0,9/27/2018,9 Month,12/29/2017,3G Capital,"Burger King, Tim Hortons",,,,www.rbi.com,,Canada,Publicly traded,Toronto: QSR,Restaurants & Bars,"& Restaurants, Gaming, Lodging",,19090000000.0,,5940000000.0,CAD,12255489620.0,3871268010.0,08/01/2018,,,,,,,,,,,,No,Yes,Yes,No,2.0,,5.0,2.25,,1/26/2019 2:15:04 AM,,,"Market cap, annual rev"
3481,3705,204.0,Smurfit Kappa Group,Yes,yes,Jonathan,2016.0,10/9/2018,6 Month,1/20/2018,,,Orange County Container,Orange County Container,,www.smurfitkappa.com,,Ireland,Publicly traded,UK: SK3,Containers/Packaging,Industrial Goods,,7760000000.0,,8560000000.0,EUR,6765350130.0,8861196960.0,7/20/2017,smurfitkappa,,,,,,,,,,,No,No,Yes,No,1.0,,3.0,4.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual rev"
3489,3887,,Swire Pacific,"No commitment, has exposure",,Philip,,6/28/2017,12 Month,6/28/2018,,"Swire Beverages, Swire Properties, Squire Retail Group, Squire Foods Group",,,,www.swirepacific.com/en/global/home.php,,Hong Kong,Publicly traded,Hong Kong: 0019 & 0087,Diversified Holding Companies,Business/Consumer Services,,109970000000.0,,62390000000.0,USD,109970000000.0,62390000000.0,6/28/2017,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,1/26/2019 2:14:58 AM,,,
3501,3899,2442.0,Symrise,Yes,yes,Jonathan,2017.0,9/12/2018,9 Month,8/29/2017,,Diana Group,,,,www.symrise.com,,Germany,Publicly traded,Xetra: SY1,Specialty Chemicals,Basic Materials/Resources,,7400000000.0,,2600000000.0,EUR,8035889400.0,2823420600.0,11/29/2016,SymriseAG,,,,,,,,,,,No,Yes,No,No,2.0,,2.0,5.0,,1/26/2019 2:14:58 AM,,,
3502,3900,,Syngenta,"No commitment, has exposure",,Philip,,7/13/2017,12 Month,7/13/2018,,"Syngenta Crop Protection AG (RSPO), Syngenta Crop Protection Sdn Bhd (RSPO), PT Syngenta Indonesia (RSPO), Syngenta Prote\E7\E3o de Cultivos Ltda (RTRS)",,,,www.syngenta.com,,Switzerland,Publicly traded,CH: SYNN,Specialty Chemicals,Basic Materials/Resources,,42850000000.0,,12600000000.0,CHF,42521554750.0,12503421000.0,7/13/2017,Syngenta,,,,,,,,,,,No,No,No,No,0.0,,0.0,4.0,,1/26/2019 2:14:58 AM,,,
3510,4178,2420.0,Velux Group,Yes,yes,Jonathan,2017.0,10/31/2016,12 Month,10/31/2017,VKR Holding AS,,,,,www.velux.com,,Denmark,Publicly traded,Subsidiary,Construction,Building Products,Subsidiary,,No,,DKK,,,,VELUX,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,0.0,,1/26/2019 2:14:52 AM,,,
3512,4180,,Veolia,"No commitment, has exposure",,Jonathan,,9/14/2016,12 Month,9/14/2017,,,,,,www.veolia.com/en,,France,Publicly traded,Paris: VIE,Water Utilities,Utilities,,12000000000.0,,23880000000.0,EUR,13031172000.0,25932032280.0,2/19/2016,Veolia,,,,,,,,,,,No,No,No,No,0.0,,0.0,0.0,,1/26/2019 2:14:52 AM,,,
3521,4378,241.0,Yum! Brands,Yes,yes,Laura,2016.0,10/1/2018,9 Month,6/27/2017,,KFC; Pizza Hut; Taco Bell,,,,www.yum.com,,United States,Publicly traded,NYSE: YUM,Restaurants & Bars,Business/Consumer Services,,28230000000.0,,5880000000.0,USD,34900000000.0,13110000000.0,1/16/2019,yumbrands,,,,,,,,,,,No,Yes,Yes,No,2.0,,7.0,1.0,,1/26/2019 2:14:52 AM,,,"market cap, revenue, year"
3523,4380,,YUSEN LOGISTICS,No exposure,,Jonathan,,2/24/2016,-,,,,,,,www.yusen-logistics.com,,Japan,Publicly traded,Tokyo: 9370,Air Freight,Transportation/Logistics,,50500000000.0,,460970000000.0,JPY,426068500.0,3889203890.0,2/24/2016,yusenlogisticsa,,,,,,,,,,,,,,,0.0,,0.0,1.0,,1/26/2019 2:14:52 AM,,,
3548,357,,Asics,"No commitment, has exposure",,Jonathan,,11/30/2016,12 Month,11/30/2017,,,,,,corp.asics.com/en,,Japan,Publicly traded,Tokyo: 7936,Footwear,Consumer Goods,,486710000000.0,,428500000000.0,JPY,4106372270.0,3615254500.0,11/30/2016,,,,,,,,,,,,No,No,No,No,0.0,,2.0,2.0,,1/26/2019 2:14:52 AM,,,
3558,592,,Bongrain - Name changed to Groupe Savencia,No - profiled under other name,,Jonathan,,3/21/2018,-,,,,,,,www.bongrain.com,,France,Publicly traded,OTCMKTS: BNGRF,Food Products,Consumer Goods,,900130000.0,,,USD,900130000.0,0.0,7/16/2015,,,,,,,,,,,,No,No,No,No,0.0,,3.0,0.0,,1/26/2019 2:14:34 AM,,,
3620,1488,1198.0,ForFarmers,yes,yes,Laura,2016.0,1/2/2019,9 Month,8/8/2017,,"PoultryPlus B.V., Reudink B.V., Stimulan B.V., Pavo Pferdenahrung GmbH, Wheyfeed Ltd., Agricola Group Ltd.",,,,www.forfarmers.eu,,Netherlands,Publicly traded,Amsterdam: FFARM,Consumer Staples,Agriculture,,832020000.0,,2218700000.0,EUR,786746150.19,2437915095.0,12/31/2018,ForFarmers,,,,,,,,,,,Yes,Yes,No,No,2.0,,4.0,3.0,,1/26/2019 2:14:34 AM,,,"market capitalization, annual revenue, finance year"
3645,1891,,Hindustan Unilever Limited,No - profiled under other name,,Philip,,10/26/2016,-,,Unilever Plc,,,,,www.hul.co.in,,India,Publicly traded,NSE: EQHINDUNILVR,Personal Care Products/Appliances,Consumer Goods,,1800000000000.0,,329720000000.0,INR,26744400000.0,4898979760.0,10/26/2016,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1/26/2019 2:14:58 AM,,,
3656,2093,488.0,IOI Group,Yes,Yes,Jonathan,2016.0,10/16/2018,6 Month,9/14/2017,,"IOI Corporation Berhad, IOI Loders Croklaan, IOI Oleochemical Industries Berhad, Pine Capital Sdn Bhd, Mayvin (Sabah) Sdn Bhd, Syarimo Sdn Bhd, IOI Plantation Sdn Bhd, Palmco International (HK) Limited",Industrial Oxygen Incorporated,Industrial Oxygen Incorporated,,www.ioigroup.com,,Malaysia,Publicly traded,MY: IOICORP,Farming,Agriculture,,30240000000.0,,11740000000.0,MYR,6986286720.0,2712268720.0,3/14/2017,,,,,,,,,,,,No,Yes,No,No,2.0,,9.0,3.0,,2/13/2019 5:22:08 PM,,,
3657,2094,2401.0,Bunge Loders Croklaan,Yes,yes,Nathan,2017.0,3/14/2017,9 Month,12/14/2017,"Bunge, IOI Corporation Berhad, IOI Group",,IOI Loders Croklaan,IOI Loders Croklaan,,northamerica.ioiloders.com,,Malaysia,Publicly traded,Subsidiary,Commodity Chemicals,Agriculture,Subsidiary,,No,,,,,,,,,,,,,,,,,No,Yes,No,No,2.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,"Twitter, name, parent companies"
3672,2305,,"Kraft Foods Group, Inc.",No - profiled under other name,,Jonathan,,4/8/2016,-,,this company has become Kraft Heinz,,"Cool Whip, JELL-O, Oscar Mayer","Cool Whip,  JELL-O,  Oscar Mayer",,www.kraftfoodsgroup.com,,United States,Publicly traded,Nasdaq: KRFT,food products,Consumer Goods,,89820000000.0,,,USD,89820000000.0,0.0,7/9/2015,,,,,,,,,,,,No,No,,,0.0,,4.0,1.0,,2/13/2019 5:22:08 PM,,,
3682,2626,150.0,Metcash,Yes,yes,Philip,2016.0,2/28/2018,9 Month,11/28/2018,,IGA (Australia),"Allied Liquor, C Store Distribution, Campbells Wholesale, Cash & Carry, Foodland, Friendly Grocer, Harbottle, Lucky7, Metcash Trading Limited Australasia, The Bottle-O","Allied Liquor,  C Store Distribution,  Campbells Wholesale,  Cash & Carry,  Foodland,  Friendly Grocer,  Harbottle,  Lucky7"," Metcash Trading Limited Australasia,  The Bottle-O",www.metcash.com,,Australia,Publicly traded,AU: MTS,Food Retailers & Wholesalers,Business/Consumer Services,,3170000000.0,,14120000000.0,AUD,2226506560.0,9917436160.0,2/27/2018,MetcashLtd,,,,,,,,,,,No,Yes,Yes,No,2.0,,8.0,2.0,,2/13/2019 5:22:08 PM,,,
3684,2628,2738.0,Metro AG,Yes,yes,Blake,2016.0,10/1/2018,6 Month,12/7/2017,,"Real, Metro Cash & Carry",Metro Group,Metro Group,,www.metroag.de/en,,Germany,Public,GR: MEO,Food Retailers & Wholesalers,Retail/Wholesale,,9790000000.0,,58417000000.0,EUR,10631264490.0,63440089020.0,6/5/2017,,,,,,,,,,,,No,Yes,No,No,1.0,,5.0,5.0,,2/13/2019 5:22:08 PM,,,"ticker, public/private"
3691,2769,161.0,Natura Cosmeticos,Yes,yes,Jonathan,2016.0,11/2/2016,12 Month,11/2/2017,,Natura Logistica E Servi\E7os Ltda,"Ekos, Natura","Ekos,  Natura",,www.natura.com.br,,Brazil,Publicly traded,BR: NATU3,Personal Care Products/Appliances,Consumer Goods,,12730000000.0,,7900000000.0,BRL,3148969180.0,1954191400.0,11/2/2016,naturanet,,,,,,,,,,,No,Yes,No,No,2.0,,5.0,6.0,,2/13/2019 5:22:08 PM,,,
3704,2942,170.0,Oriflame Cosmetics,Yes,yes,Jonathan,2016.0,9/22/2016,12 Month,9/22/2017,Oriflame Holdings,,,,,www.oriflame.com,,Sweden,Publicly traded,SE: ORI,Personal Care Products/Appliances,Consumer Goods,,16710000000.0,,11330000000.0,SEK,1955003160.0,1325564680.0,9/22/2016,WeAreOriflame,,,,,,,,,,,No,Yes,Yes,No,2.0,,9.0,3.0,,1/26/2019 2:14:46 AM,,,
3705,2943,2747.0,Origin Energy,Yes,Yes,An,2018.0,12/28/2018,9 Month,11/7/2018,,,,,,www.originenergy.com.au,,Australia,Public,ASX: ORG,Electric Utilities,Utilities,,11260000000.0,,14600000000.0,AUD,10893727680.0,9587323200.0,10/28/2018,,,,,,,,,,,,No,No,No,No,1.0,,0.0,1.0,,1/26/2019 2:14:46 AM,,,"market cap, annual rev, ticker, headquarter"
3706,211,2497.0,Allied Bakeries,Yes,yes,An,2018.0,12/18/2018,9 Month,12/28/2017,"Associated British Foods, Allied Mills & Baking, ABF Grain Products",,"Allison, Burgen, Kingsmill, Sunblest","Allison,  Burgen,  Kingsmill,  Sunblest",,www.alliedbakeries.co.uk,,United Kingdom,Publicly traded,Subsidiary,Food Products,Consumer Goods,,,,,EUR - Euro,,,,,,,,,,,,,,,Yes,Yes,No,No,2.0,,1.0,1.5,,2/13/2019 5:22:08 PM,,,currency
3708,213,,Allied Mills,No exposure,,Jonathan,,3/28/2017,-,,"Associated British Foods, Allied Mills & Baking",,,,,www.allied-mills.co.uk,,United Kingdom,Publicly traded,Subsidiary,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,1/26/2019 2:14:58 AM,,,
3711,216,,Almacenes Exito,"No commitment, has exposure",,Jonathan,,9/1/2016,12 Month,9/1/2017,Groupe Casino,,Grupo Exito,Grupo Exito,,www.grupoexito.com.co,,Colombia,Publicly traded,CO:EXITO,Food Retailers & Wholesalers,Consumer Goods,,6540000000000.0,,33400000000000.0,COP,1994700000.0,10187000000.0,9/1/2016,Grupo_Exito,,,,,,,,,,,No,No,No,No,0.0,,0.0,3.0,,2/13/2019 5:22:08 PM,,,
3730,441,,Bakrie Sumatera Plantations,,,,,,-,,Bakrie & Brothers,,,,,PT Bakrie Sumatera Plantations TBK,,Indonesia,Publicly traded,,,,,,,,IDR,0.0,0.0,8/9/2017,,,,,,,,,,,,,,,,0.0,,4.0,1.0,,1/26/2019 2:14:58 AM,,,
3739,664,,Bumitama Agri,,,Sarah,,,-,,IOI Group (32%),,,,,BUMITAMA AGRI LTD,,Singapore,Publicly traded,,,,,,,,,,,8/9/2017,,,,,,,,,,,,,,,,0.0,,7.0,1.0,,1/26/2019 2:14:46 AM,,,
3741,666,36.0,Bunge,yes,yes,Jonathan,2016.0,3/2/2017,6 Month,9/2/2017,,"Terminal 6 Industrial, Bumiraya Investindo (35%)",,,,www.bunge.com,,United States,Publicly traded,NYSE: BG,Food Products,Consumer Goods,,11440000000.0,,42940000000.0,USD,11440000000.0,42940000000.0,3/2/2017,Bunge,,,,,,,,,,,yes,Yes,No,No,3.0,,8.0,7.0,,1/26/2019 2:14:46 AM,,,
3742,667,2567.0,Bunnings,Yes,yes,Jonathan,2018.0,6/26/2017,9 Month,3/26/2018,Wesfarmers,,,,,www.bunnings.com.au,,Australia,Publicly traded,Subsidiary,Home Goods Retail,Retail/Wholesale,,,No,,AUD,0.0,,,,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,2.0,,1/26/2019 2:14:46 AM,,,
3745,670,37.0,Burberry,Yes,yes,An,2016.0,12/28/2018,9 Month,5/22/2018,,,Channel,Channel,,www.burberry.com,,United Kingdom,Publicly traded,UK: BRBY,Clothing,Consumer Goods,,6860000000.0,,2730000000.0,GBP,10917148060.0,3989511890.0,11/08/2018,Burberry,,,,,,,,,,,No,No,Yes,Yes,3.0,,6.0,3.0,,2/13/2019 5:22:08 PM,,,"market cap, annual rev"
3746,671,,Bureau Veritas Certification,No exposure,,Jonathan,,3/11/2016,-,,,Bureau Veritas Certification BVQi Argentina S.A. (RTRS member),,,,www.bureauveritas.com.ar; Bureau Veritas Certification France,,France,Publicly traded,Paris: BVI,Business Support Services,Business/Consumer Services,,8100000000.0,,4630000000.0,EUR,8796041100.0,5027860530.0,3/11/2016,_BureauVeritas,,,,,,,,,,,No,No,No,No,0.0,,0.0,5.0,,1/26/2019 2:14:46 AM,,,
3747,672,,Burger King,No - profiled under parent,no,Jonathan,2017.0,3/29/2017,12 Month,3/29/2018,"Restaurant Brands International, 3G Capital",,,,,www.bk.com,,United States,Publicly traded,Subsidiary,Restaurants & Bars,"& Restaurants, Gaming, Lodging",,,,,,,,,BurgerKing,,,,,,,,,,,No,Former,No,No,0.0,,3.0,1.5,,1/26/2019 2:14:46 AM,,,
3753,869,2637.0,Cloetta,Yes,yes,Jonathan,2016.0,10/12/2016,12 Month,10/12/2017,,Cloetta Sverige,,,,www.cloetta.com,,Sweden,Publicly traded,STO: CLAB,Food Products,Consumer Goods,,9120000000.0,,5670000000.0,SEK,1067003520.0,663367320.0,10/12/2016,,,,,,,,,,,,No,Yes,No,No,1.0,,1.0,2.0,,1/26/2019 2:14:58 AM,,,
3761,877,47.0,Coca-Cola,Yes,yes,Laura,2016.0,8/29/2018,6 Month,9/15/2017,,,"Ades, Fanta, Minute Maid, Odwalla, Sprite","Ades,  Fanta,  Minute Maid,  Odwalla,  Sprite",,www.coca-colacompany.com,,United States,Public,KO,Non-Alcoholic Beverages/Drinks,Consumer Goods,,196660000000.0,,35020000000.0,USD,180140000000.0,41380000000.0,2017,CocaCola,,,,,,,,,,,Yes,Yes,Yes,No,4.0,,1.0,7.0,,2/13/2019 5:22:08 PM,Yes,,"market capitalization, annual revenue, finance year, ticker, public/private"
3777,1272,74.0,Elior,Yes,yes,Jonathan,2016.0,3/17/2017,12 Month,3/17/2018,,,"Aladdin, Ansamble, Arce, Arpege, A'vianas, Azure, Copra, Cura Hospitality, Gemeaz, L'Alsacienne, Serunion, Singularis, Starr Catering Group, Trust House Services Group, Valley","Aladdin,  Ansamble,  Arce,  Arpege,  A'vianas,  Azure,  Copra,  Cura Hospitality"," Gemeaz,  L'Alsacienne,  Serunion,  Singularis,  Starr Catering Group,  Trust House Services Group,  Valley",www.elior.com,,France,Publicly traded,FR:ELIOR,Restaurants & Bars,Leisure Products,,3570000000.0,,5900000000.0,EUR,3876773670.0,6406992900.0,3/17/2017,Elior_Group,,,,,,,,,,,No,Yes,Yes,No,3.0,,5.0,0.0,,2/13/2019 5:22:08 PM,,,
3780,1275,2643.0,Emami Agrotech,Yes,yes,Jonathan,2017.0,3/23/2018,Predictable,Predictable,Emami Limited,Emami Biotech,Rasoi,Rasoi,,www.emamiagrotech.in,,India,Publicly traded,Subsidiary,Alternative Fuel,Basic Materials/Resources,Subsidiary,,No,,,,,,,,,,,,,,,,,No,Yes,No,No,1.0,,5.0,1.0,,2/13/2019 5:22:08 PM,,,
3807,1687,1561.0,Greencore Group plc,yes,yes,Jonathan,2016.0,10/20/2016,12 Month,10/20/2017,,Trilby Trading,Hazlewood Foods,Hazlewood Foods,,www.greencore.com,,Ireland,Publicly traded,UK: GNC,Food Products,Consumer Goods,,1270000000.0,,1340000000.0,GBP,1829126390.0,1929944380.0,10/20/2016,GreencoreGroup,,,,,,,,,,,No,Yes,No,No,1.0,,4.0,1.0,,2/13/2019 5:22:08 PM,,,
3818,1899,,HITACHI TRANSPORT SYSTEM,No exposure,,Jonathan,,2/22/2016,-,,,,,,,www.hitachi-hb.co.jp,,Japan,Publicly traded,Tokyo: 9086,Trucking,Transportation/Logistics,,190800000000.0,,678570000000.0,JPY,1609779600.0,5725095090.0,2/22/2016,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1/26/2019 2:14:46 AM,,,
3819,1900,,HITACHI ZOSEN,No exposure,,Jonathan,,3/10/2016,-,,,,,,,www.hitachizosen.co.jp/english/index.html,,Japan,Publicly traded,Tokyo: 7004,Industrial Machinery,Industrial Goods,,93450000000.0,,359330000000.0,JPY,788437650.0,3031667210.0,3/10/2016,,,,,,,,,,,,,,,,0.0,,0.0,1.0,,1/26/2019 2:14:46 AM,,,
3822,1903,1363.0,HKScan Group,yes,yes,Philip,2016.0,9/26/2018,12 Month,3/28/2019,,,"HK, HK Scanoyj, Kariniemen, Popsi, Via","HK,  HK Scanoyj,  Kariniemen,  Popsi,  Via",,www.hkscan.com,,Finland,Publicly traded,Helsinki: HKSAV,Food Products,Consumer Goods,,170860000.0,,1810000000.0,EUR,185542170.66,1965535110.0,3/27/2018,,,,,,,,,,,,Yes,Yes,No,No,2.0,,2.0,2.0,,2/13/2019 5:22:08 PM,,,
3828,2066,2029.0,Intel,Yes,Yes,Laura,2016.0,8/31/2018,6 Month,11/5/2017,,McAfee,Intel Corporation,Intel Corporation,,www.intel.com,,United States,Public,NYSE: INTC,Semiconductors,Technology,,212800000000.0,,62760000000.0,USD,173530000000.0,59390000000.0,2017,intel,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,2.0,,2/13/2019 5:22:08 PM,,,"Ticker, public/private, market cap"
3838,2076,,International Airlines Group,"No commitment, has exposure",,Philip,,3/17/2017,12 Month,3/17/2018,,"British Airlines, Iberia, Aer Lingus, Vueling",,,,www.iairgroup.com,,United Kingdom,Publicly traded,,Passenger Airlines,Transportation/Logistics,,13930000000.0,,18500000.0,EUR,15127018830.0,20089723.5,3/17/2017,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1/26/2019 2:14:40 AM,,,
3855,3583,,SENKO,No exposure,,Jonathan,,3/10/2016,-,,,,,,,www.senko.co.jp/en,,Japan,Publicly traded,Tokyo: 9069,Transportation Services,Transportation/Logistics,,99790000000.0,,398450000000.0,JPY,841928230.0,3361722650.0,3/10/2016,,,,,,,,,,,,,,,,0.0,,0.0,1.0,,1/26/2019 2:15:04 AM,,,
3877,3814,212.0,Stora Enso,Yes,yes,Luke,2016.0,10/17/2018,6 Month,1/20/2018,"Foundation Asset Management AB, the Gov't of Finland (Kela)","Veracel, Montes del Plata, Stora Enso Latvija",Stora Enso Oyj,Stora Enso Oyj,,www.storaenso.com,,Finland,Publicly traded,FI: STERV,Paper/Pulp,Basic Materials/Resources,,11250000000.0,,10070000000.0,EUR,10153454850.0,10642123800.0,10/16/2018,storaenso,,,,,,,,,,,No,No,Yes,No,1.0,,1.0,4.25,,2/13/2019 5:22:08 PM,,,"Market cap, annual revenue, finance year"
3879,3996,2259.0,Thomas Cook Group,Yes,yes,Jonathan,2017.0,3/30/2017,9 Month,12/30/2017,,Condor,,,,www.thomascookgroup.com,,United Kingdom,Publicly traded,London: TCG,Travel & Leisure,Leisure Products,,1310000000.0,,7810000000.0,GBP,1886736670.0,11248407170.0,3/30/2017,ThomasCookNews,,,,,,,,,,,No,No,Yes,No,1.0,,2.0,1.0,,1/26/2019 2:15:04 AM,,,
3898,2868,,North West Company,"No commitment, has exposure",no,Philip,,6/5/2017,12 Month,6/5/2018,,,"Alaska Commercial, Cost U Less, Giant Tiger, North Mart, Northern","Alaska Commercial,  Cost U Less,  Giant Tiger,  North Mart,  Northern",,www.northwest.ca,,CANADA,Publicly traded,Toronto: NWC,Mixed retailing,Retail/Wholesale,,1610000000.0,,1840000000.0,CAD,1135289890.0,1297474160.0,6/5/2017,North_West_Co,,,,,,,,,,,,,,,0.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,
