PublicOrPrivate,CompanyName,HeadquarterCountry,TickerSymbol,FinancesCurrency
Publicly traded,Westpac,Australia,AU: WBC,AUD
Publicly traded,WestRock,United States,WRK,USD
Publicly traded,Multifood,Brazil,,
Publicly traded,Argos,United Kingdom,Subsidiary,GBP
Publicly traded,BillerudKorsn\E4s,Sweden,SE: BILL,SEK
Publicly traded,Bio Inti Agrindo,Indonesia,Subsidiary,KRW - South Korean Won
Publicly traded,Campbell's,United States,NYSE: CPB,USD
Publicly traded,CAPGEMINI,France,,EUR
Publicly traded,Deutsche Post DHL Group,Germany,Xetra: DPW,EUR
Publicly traded,Dharma Satya Nusantara,Indonesia,DSNG:IJ,IDR
Publicly traded,DHL,Germany,Subsidy,EUR
Publicly traded,Diageo,United Kingdom,UK: DGE,GBP
Publicly traded,Feronia,Canada,TSX Venture: FRN,CAD
Publicly traded,Godrej Consumer Products,India,Bombay: 532424,INR
Publicly traded,Godrej Group,India,Subsidiaries,INR
Publicly traded,Godrej Industries,India,Bombay: 500164,INR
Publicly traded,Golden Agri-Resources,Singapore,SG: E5H,USD
Public,Heineken International,Netherlands,Private,EUR
Publicly traded,INGLES MARKETS,United States,Nasdaq: IMKTA,USD
Publicly traded,Kato Sangyo,Japan,Tokyo: 9869,JPY
Publicly traded,LVMH - Mo\EBt Hennessy Louis Vuitton,France,FR: MC,EUR
Publicly traded,M.P. Evans Group,United Kingdom,,
Publicly traded,S & B Foods,Japan,Tokyo: 2805,JPY
Publicly traded,Shiseido Company,Japan,JP: 4911,JPY
Publicly traded,Shoprite Holdings,South Africa,South Africa: SHP,ZAR
Publicly traded,S\FCedzucker,Germany,Xetra: SZU,EUR
Publicly traded,Toyo Suisan Kaisha,Japan,Tokyo: 2875,JPY
Publicly traded,Transcontinental,Canada,CA: TCL.A,CAD
Publicly traded,Wilmar International,Singapore,SGX: F34,SGD
Publicly traded,Noble Group,Hong Kong,SGX: CGP,SGD
Publicly traded,PepsiCo,United States,NYSE: PEP,USD
Publicly traded,Performance Food Group,United States,NYSE: PFGC,USD
Publicly traded,Quanta Computer,Taiwan,TW: 2382,TWD
Publicly traded,Stanley Black & Decker,United States,NYSE: SWK,USD
Publicly traded,Tesco,United Kingdom,UK: TSCO,GBP
Publicly traded,Zoetis,United States,NYSE: ZTS,USD
Publicly traded,Premier Foods,United Kingdom,UK: PFD,GBP
Publicly traded,Resolute Forest Products,Canada,NYSE: RFP,USD
Publicly traded,Restaurant Brands International,Canada,Toronto: QSR,CAD
Publicly traded,Smurfit Kappa Group,Ireland,UK: SK3,EUR
Publicly traded,Swire Pacific,Hong Kong,Hong Kong: 0019 & 0087,USD
Publicly traded,Symrise,Germany,Xetra: SY1,EUR
Publicly traded,Syngenta,Switzerland,CH: SYNN,CHF
Publicly traded,Velux Group,Denmark,Subsidiary,DKK
Publicly traded,Veolia,France,Paris: VIE,EUR
Publicly traded,Yum! Brands,United States,NYSE: YUM,USD
Publicly traded,YUSEN LOGISTICS,Japan,Tokyo: 9370,JPY
Publicly traded,Asics,Japan,Tokyo: 7936,JPY
Publicly traded,Bongrain - Name changed to Groupe Savencia,France,OTCMKTS: BNGRF,USD
Publicly traded,ForFarmers,Netherlands,Amsterdam: FFARM,EUR
Publicly traded,Hindustan Unilever Limited,India,NSE: EQHINDUNILVR,INR
Publicly traded,IOI Group,Malaysia,MY: IOICORP,MYR
Publicly traded,Bunge Loders Croklaan,Malaysia,Subsidiary,
Publicly traded,"Kraft Foods Group, Inc.",United States,Nasdaq: KRFT,USD
Publicly traded,Metcash,Australia,AU: MTS,AUD
Public,Metro AG,Germany,GR: MEO,EUR
Publicly traded,Natura Cosmeticos,Brazil,BR: NATU3,BRL
Publicly traded,Oriflame Cosmetics,Sweden,SE: ORI,SEK
Public,Origin Energy,Australia,ASX: ORG,AUD
Publicly traded,Allied Bakeries,United Kingdom,Subsidiary,EUR - Euro
Publicly traded,Allied Mills,United Kingdom,Subsidiary,
Publicly traded,Almacenes Exito,Colombia,CO:EXITO,COP
Publicly traded,Bakrie Sumatera Plantations,Indonesia,,IDR
Publicly traded,Bumitama Agri,Singapore,,
Publicly traded,Bunge,United States,NYSE: BG,USD
Publicly traded,Bunnings,Australia,Subsidiary,AUD
Publicly traded,Burberry,United Kingdom,UK: BRBY,GBP
Publicly traded,Bureau Veritas Certification,France,Paris: BVI,EUR
Publicly traded,Burger King,United States,Subsidiary,
Publicly traded,Cloetta,Sweden,STO: CLAB,SEK
Public,Coca-Cola,United States,KO,USD
Publicly traded,Elior,France,FR:ELIOR,EUR
Publicly traded,Emami Agrotech,India,Subsidiary,
Publicly traded,Greencore Group plc,Ireland,UK: GNC,GBP
Publicly traded,HITACHI TRANSPORT SYSTEM,Japan,Tokyo: 9086,JPY
Publicly traded,HITACHI ZOSEN,Japan,Tokyo: 7004,JPY
Publicly traded,HKScan Group,Finland,Helsinki: HKSAV,EUR
Public,Intel,United States,NYSE: INTC,USD
Publicly traded,International Airlines Group,United Kingdom,,EUR
Publicly traded,SENKO,Japan,Tokyo: 9069,JPY
Publicly traded,Stora Enso,Finland,FI: STERV,EUR
Publicly traded,Thomas Cook Group,United Kingdom,London: TCG,GBP
Publicly traded,North West Company,CANADA,Toronto: NWC,CAD
Publicly traded,Saint-Gobain,France,FR: SGO,EUR
Publicly traded,Solvay,Belgium,BE: SOLB,EUR
Publicly traded,Sonae,Portugal,Lisbon: SON,EUR
Publicly traded,Terna,Italy,IT:TRN,EUR
Publicly traded,Terra Santa Agro,Brazil,Bovespa: TESA3,BRL
Publicly traded,Millennium & Copthorne Hotels,United Kingdom,UK: MLC,GBP
Publicly traded,MillerCoors,United States,subsidiary,
Publicly traded,National Grid,United Kingdom,UK: NG,GBP
Publicly traded,Officeworks,Australia,Subsidiary,AUD
Publicly traded,Oji Holdings Corporation,Japan,Tokyo: 3861,JPY
Publicly traded,O'Key Group,Luxembourg,IOB: OKEY,USD
Publicly traded,Olam Food Ingredients,United Kingdom,Subsidiary,SGD
Publicly traded,Olam International,Singapore,SG: O32,SGD
Publicly traded,Podravka,Croatia,ZSE: PODR,HRK
Publicly traded,R.E.A. Holdings Plc,United Kingdom,,
Publicly traded,Raisio Group,Finland,FI : RAIVV,EUR
Publicly traded,SCA,Sweden,SE: SCAB,SEK
Publicly traded,Tapestry,United States,NYSE: TPR,USD
Publicly traded,Target,United States,NYSE: TGT,USD
Publicly traded,UPM-Kymmene Corporation,Finland,FI: UPM,EUR
Publicly traded,Natuzzi,Italy,NYSE: NTZ,USD
Publicly traded,NCR JAPAN,United States,NYSE: NCR,USD
Publicly traded,Reed Elsevier,United Kingdom,UK: REL,GBP
Publicly traded,RELX Group,United Kingdom,UK: REL,GBP
Publicly traded,Seiyu,Japan,Subsidiary,
Publicly traded,Sekisui House,Japan,JP : 1928,JPY
Publicly traded,Speedibake,United Kingdom,Subsidiary,
Publicly traded,Sprint Corp.,United States,NYSE: S,USD
Publicly traded,The Body Shop,United Kingdom,Subsidiary,
Publicly traded,Walgreens Boots Alliance,United States,Nasdaq: WBA,USD
Public,Hugo Boss,Germany,BOSS:GR,EUR - Euro
Publicly traded,Nippon Access,Japan,Subsidiary,JPY
Publicly traded,Nippon Meat Packers,Japan,Tokyo: 2282,JPY
