"CompanyId","CompanySiteID","CompanyName","PostToWebsite","Visible","Researcher","Cohort","DateLastUpdated","RefreshSchedule","NextRefresh","RelevantParentCompany","RelevantSubsidiaryCompanies","AllAliases","FirstEightAliases","AllOtherAliases","CompanyWebsite","Majorcompanybrands","HeadquarterCountry","PublicOrPrivate","TickerSymbol","Sector","Industry","MarketCapitalizationDisclosed","MarketCapitalization","AnnualRevenueDisclosed","AnnualRevenue","FinancesCurrency","MarketCapitalizationInUsd","AnnualRevenueInUsd","FinancesCurrentAsOf","TwitterHandle","SustainabilityReporting","SustainabilityCommodityReporting","CommodityReportedon","SustainabilityReportingYear","AcknowledgeDeforestationIssue","AcknowlDeforestationwithCommod","CDP2015_voluntaryoffsetbuyer","PromiseFuturDeforestationCommit","CommodityTypeofFutureCommit","GeneralCommitment","SoyCommitment","PalmCommitment","TimberPulpCommitment","CattleCommitment","TotalCommitments","DormantCommPresent","NumberOfAssessments","NumberOfRelatedActivities","CreatedAt","ModifiedAt","VoluntaryOffsets","Researcher_Other","UpdatedNotes"
"927","","Consolidado Catahua","","","","","","-","","","","","","","","","Peru","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:58 AM","","",""
"928","2433","Consolidated Pastoral Company (CPC)","Yes","yes","Jonathan","2017","12/27/2018","6 Month","7/29/2018","Terra Firma","PT. Juang Jaya Abdi Alam, Lake Woods Group","","","","www.pastoral.com","","Australia","Private","Private","Farming","Agriculture","No","","","153300000.0000","AUD","","107673014.4","7/6/2016","","","","","","","","","","","","No","No","No","Yes","1","","0","0","","1/26/2019 2:14:58 AM","","",""
"929","","CONSUMER GOODS COUNCIL OF SA","No exposure","No","Philip","","1/27/2016","-","","","","","","","www.cgcsa.co.za","","South Africa","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:58 AM","","",""
"930","","CONSUMER SPECIALTY PRODUCTS ASSOCIATION","No exposure","","Philip","","2/5/2016","-","","","","","","","www.cspa.org","","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:58 AM","","",""
"931","2638","Continental Bakeries","yes","yes","Philip","2016","12/31/2018","9 Month","8/2/2017","Goldman Sachs, Silverfern","","Brinky, Bussink, Bussink Deventerhoneycake, Gille, Grabower, Haust","Brinky,  Bussink,  Bussink Deventerhoneycake,  Gille,  Grabower,  Haust","","www.continentalbakeries.com","","Netherlands","Private","Private","Food Products","Consumer Goods","No","","No","","EUR","","","","","","","","","","","","","","","No","Yes","Yes","No","2","","1","1","","2/13/2019 5:22:08 PM","","",""
"932","","Continental Confectionery Company Gida San. Ve Tic. A.S.","","","","","","-","","","","","","","Continental Confectionery Company Gida San. Ve Tic. A.S.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:58 AM","","",""
"933","","Contracted facilitator","","","","","","-","","","","","","","www.blcleathertech.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:58 AM","","",""
"934","","Control Union Certification","","","","","","-","","","","","","","www.controlunion.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:58 AM","","",""
"935","52","Co-op Clean Co.","Yes","yes","Jonathan","2016","10/13/2016","12 Month","10/13/2017","","","","","","www.coopclean.co.jp","","Japan","Private","Private","Consumer Staples","Consumer Goods","No","","","4775000000.0000","JPY","","40286675","10/13/2016","","","","","","","","","","","","No","Yes","No","No","1","","4","1","","1/26/2019 2:14:58 AM","","",""
"936","1190","Coop Denmark","yes","yes","Philip","2016","11/16/2016","12 Month","11/16/2017","F\E6llesforeningen For Danmarks Brugsforeninger, Coop Amba","","Dit Valg, Enkel, Forenede Danske Brugsforeninger, Friends, Hugin, Mustang, Rocky, Savannah, Slagterensudvalgte","Dit Valg,  Enkel,  Forenede Danske Brugsforeninger,  Friends,  Hugin,  Mustang,  Rocky,  Savannah","Slagterensudvalgte","https://om.coop.dk","","Denmark","Private","Private","Consumer Staples","Retail/Wholesale","No","","No","","DKK","","","5/27/2016","","","","","","","","","","","","No","Yes","Yes","No","2","","3","0","","2/13/2019 5:22:08 PM","","",""
"1292","","Enkco - Vivera","","","","","","-","","","","","","","www.vivera.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1293","","ENLAZA LTDA","","","","","","-","","","","","","","ENLAZA LTDA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1294","","Ensure Enterprise Company","","","","","","-","","","","","","","http://www.chinalins1984.com/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1295","","Environmental Management and Monitoring Ptv Ltd","","","","","","-","","","","","","","Environmental Management and Monitoring Ptv Ltd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1296","","Enviva LP","","","","","","-","","","","","","","www.envivabiomass.com","","UNITED STATES","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1297","","EOC Surfactants NV","","","","","","-","","","","","","","EOC Surfactants NV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1298","","Eosta","No exposure","no","Jonathan","","5/1/2017","-","","","","","","","http://www.eosta.com/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1299","","EPChem International Pte Ltd","","","","","","-","","","","","","","EPChem International Pte Ltd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1300","","EPICEA","","","","","","-","","","","","","","EPICEA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1301","","Equatorial Nut Processors","No exposure","no","Jonathan","","5/1/2017","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1302","2570","Equatorial Palm Oil","Yes","Yes","An","2018","10/22/2018","9 Month","3/28/2018","Kuala Lumpur Kepong Berhad (KLK), KLK Agro","","","","","www.epoil.co.uk","","United Kingdom","Publicly traded","London: PAL","Farming","Agriculture","","6060000.0000","No","","EUR","11119933.44","","9/30/2018","","","","","","","","","","","","No","Yes","No","No","1","","0","1","","1/26/2019 2:14:40 AM","","","market cap"
"1303","","Equatorial Trading Ltd","","","","","","-","","","","","","","Equatorial Trading Ltd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1304","","ERCA POLAND sp. z o.o.","","","","","","-","","","","","","","ERCA POLAND sp. z o.o.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1305","","Ernest Jones","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","1/26/2019 2:14:40 AM","","",""
"1306","","Ernst & Young","No exposure","No","Philip","","1/13/2016","-","","","","","","","www.ey.com","","United Kingdom","Private","Private","Securities","Financial Services","No","","","","GBP","","0","1/13/2015","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:40 AM","","",""
"1507","","Free Spirit","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","1/26/2019 2:14:46 AM","","",""
"1508","","Freemans","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
"1509","","Freemans Direct","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
"1510","2745","Freiberger Lebensmittel","Yes","Yes","Jonathan","2016","9/12/2018","Predictable","Predictable","Sudzucker group","","","","","www.freiberger.de/en/","","","","","Food Products","Consumer Goods","No","","No","","EUR","","","","","","","","","","","","","","","No","Yes","No","No","1","","0","2","","1/26/2019 2:14:46 AM","","",""
"1511","","FrescoPelli China","","","","","","-","","","","","","","www.frescopelli.it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
"1512","","Fresh Food Industries Pty Ltd","","","","","","-","","","","","","","Fresh Food Industries Pty Ltd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
"1513","","Fresystem spa","","","","","","-","","","","","","","Fresystem spa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
"1514","","Freudenberg Vildona","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
"1515","","Fricopan Back GmbH","","","","","","-","","","","","","","Fricopan Back GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
