CompanyId,CompanyName,TickerSymbol,FinancesCurrency,Updated MarketCapitalizationInUsd,MarketCapitalization in Native Currency,Upaded FinancesCurrentAsOf,Peers,Original MarketCapitalizationInUsd
1404,Felda Global Ventures,FGV-MY,MYR,8361859989.0,34823045415.38,2019-05-15T00:00:00.000Z,"['VOC-VN', 'FGV-MY', '1377-JP']",1795087560
1421,Feronia,FRN-CA,USD,53208811.59,53208811.59,2019-05-15T00:00:00.000Z,"['VFF-CA', 'IGP-CA', 'FLAF-US', 'ANFI-US']",53824023.17
1432,Fidelity National Information Services,FIS-US,USD,37945667214.0,37945667214.0,2019-05-15T00:00:00.000Z,"['GPN-US', 'FISV-US', 'MA-US', 'TSS-US', 'V-US', 'EEFT-US', 'ADS-US', 'ACIW-US', 'EVTC-US']",17820000000
1444,First Pacific Company Limited,142-HK,HKD,13252039684.2,104017214817.09,2019-05-15T00:00:00.000Z,"['INDF-ID', '345-HK', '1076-HK', '000716-CN']",3237872220
1445,First Resources,EB5-SG,SGD,2692924047.3,3687356501.54,2019-05-15T00:00:00.000Z,"['P8Z-SG', 'E5H-SG', '5JS-SG', 'F34-SG']",
1458,Fluor Corporation,FLR-US,USD,4155841314.9,4155841314.9,2019-05-15T00:00:00.000Z,"['KBR-US', 'JEC-US', 'ACM-US', 'TPC-US', 'MDR-US', 'MTZ-US', 'PWR-US']",6230000000
1464,Fonterra,FCG-NZ,USD,10372263705.51,10372263705.51,2019-05-15T00:00:00.000Z,"['SML-NZ', 'ATM-NZ', 'CGF-NZ', 'LIC-NZ']",6575025320
1488,ForFarmers,FFARM-NL,USD,627677080.0,627677080.0,2019-05-15T00:00:00.000Z,"['SNFC-EG', 'SCHO-DK', 'VZAS-RS', 'WALG-GB']",786746150.2
1530,FUJITSU,6702-JP,JPY,1504116977007.0,164884946841253.4,2019-05-15T00:00:00.000Z,"['6971-JP', '6501-JP', '6758-JP', '6752-JP']",17464590
1586,General Mills,GIS-US,USD,31382619591.21,31382619591.21,2019-05-15T00:00:00.000Z,"['K-US', 'MDLZ-US', 'THS-US', 'SJM-US', 'HAIN-US', 'CAG-US', 'POST-US']",34840000000
1588,GENERIX,GENX-FR,USD,89868283.45,89868283.45,2019-05-15T00:00:00.000Z,"['PROL-FR', 'QTE-FR', 'CAS-FR', 'ITE-FR', 'LIN-FR', 'TES-FR']",69727629.51
1621,Givaudan,GIVN-CH,CHF,23662830880.0,23880386140.21,2019-05-15T00:00:00.000Z,"['CBE-FR', 'TET-GB', 'ALPHY-FR', 'SUY1V-FI']",19707773100
1645,Godrej Consumer Products,GODREJCP-IN,USD,9313021710.72,9313021710.72,2019-05-15T00:00:00.000Z,"['JYOTHYLA-IN', 'KOHINOOR-BD', 'JOCIL-IN', 'JHS-IN']",8488969720
1647,Godrej Industries,GODREJIN-IN,INR,149698000000.0,10485273910553.78,2019-05-15T00:00:00.000Z,"['AMANFEED-BD', 'AJOONI-IN', 'AVANTIFE-IN', 'CPF-F-TH']",2603270180
1648,Golden Agri-Resources,GODREJAG-IN,USD,1282866108.59,1282866108.59,2019-05-15T00:00:00.000Z,"['AMANFEED-BD', 'AJOONI-IN', 'AVANTIFE-IN', 'CPF-F-TH']",5010000000
1649,Golden Plantation TBK,GOLL-ID,USD,13089288425.0,13089288425.0,2019-05-15T00:00:00.000Z,"['MRG-AU', 'KLUANG-MY', 'SBAGAN-MY', 'SEK-NZ']",
1687,Greencore Group plc,GNC-GB,USD,784384131.85,784384131.85,2019-05-15T00:00:00.000Z,"['PFD-GB', 'CWK-GB', 'ULVR-GB']",1829126390
1789,h2o-retailing,8242-JP,JPY,143706852113.0,15753493267874.73,2019-05-15T00:00:00.000Z,"['8273-JP', '8237-JP', '8289-JP']",1570716290
1797,Hain Celestial,HAIN-US,USD,2549569037.76,2549569037.76,2019-05-15T00:00:00.000Z,"['GIS-US', 'MDLZ-US', 'CPB-US', 'THS-US', 'SJM-US']",3900000000
1819,Hap Seng Plantations Holdings,HSPLANT-MY,USD,299235315.9,299235315.9,2019-05-15T00:00:00.000Z,"['RVIEW-MY', 'SBI-AU', 'SELI.N00-LK', 'RSAWIT-MY']",
1833,Hasbro,HAS-US,USD,12258190898.4,12258190898.4,2019-05-15T00:00:00.000Z,"['MAT-US', 'JAKK-US', 'EA-US', 'SGMS-US', 'ATVI-US', 'IGT-US', 'DIS-US', 'VIAB-US']",10820000000
1853,Heineken International,HEIA-NL,EUR,55296016347.26,49358222212.77,2019-05-15T00:00:00.000Z,"['ABI-BE', 'HEIO-NL', 'DGE-GB']",55263028590
1868,Henkel,HEN-DE,EUR,20939547525.0,18691018052.43,2019-05-15T00:00:00.000Z,"['BEI-DE', 'UNA-NL', 'OR-FR']",52070391450
1875,Hero Supermarket,HERO-ID,USD,264465435000.0,264465435000.0,2019-05-15T00:00:00.000Z,"['AMRT-ID', 'RANC-ID', '2912-TW', '007070-KR']",361440000
1881,Hewlett-Packard (HP inc.),HPQ-US,USD,28832430011.81,28832430011.81,2019-05-15T00:00:00.000Z,"['IBM-US', 'AAPL-US', 'MSFT-US', 'CSCO-US', 'LNVGY-US', 'INTC-US', 'SMCI-US', 'XRX-US', 'CAJ-US', 'ORCL-US']",31120000000
1891,Hindustan Unilever Limited,HINDUNIL-IN,USD,51494989138.16,51494989138.16,2019-05-15T00:00:00.000Z,"['JYOTHYLA-IN', 'KOHINOOR-BD', 'JOCIL-IN', 'JHS-IN']",26744400000
1899,HITACHI TRANSPORT SYSTEM,9086-JP,USD,3155427428.6,3155427428.6,2019-05-15T00:00:00.000Z,"['9072-JP', '9075-JP', '9039-JP']",1609779600
1900,HITACHI ZOSEN,7004-JP,JPY,62867104841.0,6891644332343.41,2019-05-15T00:00:00.000Z,"['6370-JP', '6302-JP', '6013-JP', '6143-JP']",788437650
1903,HKScan Group,HKSAV-FI,EUR,91918588.86,82048191.43,2019-05-15T00:00:00.000Z,"['BELL-CH', 'ATRAV-FI', 'TERB-BE', 'FLE-FR']",185542170.7
1934,House Foods,2810-JP,USD,4072668616.57,4072668616.57,2019-05-15T00:00:00.000Z,"['2805-JP', '2812-JP', '2815-JP']",2599186590
1969,Iberdrola,IBE-ES,USD,47535694225.45,47535694225.45,2019-05-15T00:00:00.000Z,"['ELE-ES', 'REE-ES', 'ENEL-IT']",42036389010
1975,ICA Gruppen,ICA-SE,USD,7811505681.56,7811505681.56,2019-05-15T00:00:00.000Z,"['MQ-SE', 'MCAP-SE', 'STG-DE', 'NIS-SE']",6900424080
2001,IJM Plantations Berhad,IJMPLNT-MY,USD,312606956.1,312606956.1,2019-05-15T00:00:00.000Z,"['RVIEW-MY', 'SBI-AU', 'SELI.N00-LK', 'RSAWIT-MY']",
2020,Inditex,ITX-ES,EUR,78776656982.1,70317465838.47,2019-05-15T00:00:00.000Z,"['ALY-GB', 'MUL-GB', 'BOSS-DE', 'ADZ-ES']",98420098392
2022,Indofood Agri Resources,5JS-SG,IDR,383873745.75,5546977339350.65,2019-05-15T00:00:00.000Z,"['EB5-SG', 'E5H-SG', 'P8Z-SG', 'F34-SG']",480506993.2
2024,Indofood Sukses Makmur,INDF-ID,USD,3919833258928.5,3919833258928.5,2019-05-15T00:00:00.000Z,"['ICBP-ID', 'SAF-VN', 'AISA-ID', '017810-KR']",5025600000
2044,INGLES MARKETS,IMKTA-US,USD,432266944.15,432266944.15,2019-05-15T00:00:00.000Z,"['WMK-US', 'KR-US', 'CBD-US', 'VLGEA-US']",760270000
